Mobile,Review
"Mobile    [Samsung Galaxy S20 FE 5G | Factory Unlocked A...
Name: 0, dtype: object","[""Coming from a pixel 2 I expected more.\nFront camera is slow and very blurry in low-light\nvibration intensity is pathetic, I keep missing calls.\nit's obnoxiously large\nfingerprint scanner is inconsistent at best, even without any screen protection (if anyone had one in stock)\nSamsung's version of android is garbage, I actually downgraded from Android 11 to 10\n\nbattery life is better than my ancient phone.\nwifi6 is fast, about 300Mbps tested\nWifi6 Stats:\nChannel 40 (11ax)\nSignal 94% (-53 dBm)\nRx Rate 960 Mbps\nTx Rate 648 Mbps\nPower Save Enabled\n\n5G is decent (LTE+ indicated at 100Mbps down, 4Mbps up, AT&T in Raleigh, NC)\n\nIf you you like Samsung's spin on android and large screens this is a great phone for you.""]"
"Mobile    [Samsung Galaxy S20 FE 5G | Factory Unlocked A...
Name: 0, dtype: object","[""I bought this phone because I wasn't willing to spend a grand on the S20/ or note. Plus on Amazon it saved me an extra 100. I have tmobile. And I switched my sim out from my S9. Phone calls and texting worked immediately but it took me a couple hours to get the mobile data running. But after I restarted the network I am now on 5G.\nI did not receive my headset. I reached out to Amazon and I'll see what they say. If not I'll reach out to Samsung. This phone is larger than my S9 but I love the screen size even though it's not easy to hold for me with one hand. It is a beautiful phone. Screen has amazing color. And it is quite fast. Downer is the battery life. I've been on it for a couple hours and I'm down to 62% but it did charge really fast. From what I did see of the camera in low light the picture did come out nice for being at night. 3 different settings are on upon opening it. Zoom back, regular and zoom in. I'll see what the pictures look like in the day. Overall I'm happy with my purchase. Just hope that the battery life gets fixed. It's a nice alternative for getting a new phone at a not so large price tag.""]"
"Mobile    [Samsung Galaxy S20 FE 5G | Factory Unlocked A...
Name: 0, dtype: object",['Performance = 9 / 10 - fast Snapdragon cpu but only only 6gb ram\n\nDisplay = 8.7 / 10 - 120ghz is great but screen is washed compared to s10/s20\n\nBatttery = 8.8 / 10 - all day battery\n\nDesign = 8.7 / 10 - flat screen but bezels could be smaller\n\nCamera = 9 /10 - great main cameras - selfie camera is MEH and pics can be blurry on moving objects\n\nFeatures = 9/10 - three years of software updates..5g...a lot of color options .. ip68 .. wireless charging .. dex']
"Mobile    [Samsung Galaxy S20 FE 5G | Factory Unlocked A...
Name: 0, dtype: object","[""This phone is a lot better than expected. Coming from the s10+, I was worried that I would be completely disappointed. The s20fe feels premium despite having a plastic back. This is due to its thickness and weight. The plastic feels premium and the cloud mint doesn't leave visible fingerprints. The phone has the Qualcomm Snapdragon 865; the phone feels very smooth. The 120hz refresh rate also adds to the smoothness of the experience. 6gb of ram is sufficient for the vast majority of users. My s10+ plus had 8gb and I felt like I could have an endless amount of apps open. The same could be said with this phone. The cameras are quite good but I'd recommend testing out the phone in person. Yes... the 1080p display looks fine. You will not be able to tell the difference unless you get a magnifying glass or put your eye right up to the display. If you are coming from the s8 or and older phone, this phone is worth picking up.""]"
"Mobile    [Samsung Galaxy S20 FE 5G | Factory Unlocked A...
Name: 0, dtype: object","[""When I purchased this it was listed as 8gb of ram but the model I received is 6gb. That makes me feel lured into something I wasn't expecting.\n\nThe phone is a solid overall phone with premium performance for the price due to sacrificing the build quality by making the back plastic and the screen gorilla glass 3 instead of 6.\n\nDoesn't matter to me as I wanted an unused device (battery) with a top notch processor for the smallest price point.\n\nI'm still slightly upset about not getting 8gb as was listed when I purchased which is why I didn't rate 5/5.""]"
"Mobile    [Samsung Galaxy S20 FE 5G | Factory Unlocked A...
Name: 0, dtype: object","['Just Got My Samsung Galaxy S20 FE yesterday and I open and tested it if it is a good phone....it is a nice looking phone, but the problem is it was heating up and drained the battery to fast.....only 4/5 hrs of use time at fully charge!']"
"Mobile    [Samsung Galaxy S20 FE 5G | Factory Unlocked A...
Name: 0, dtype: object","[""Just got this yesterday, the day it came out. I got the Navy Blue, which looks great. I got it to replace my 1st generation Pixel XL. Because the Pixel's battery was old Google stopped supporting security updates, I decided to upgrade. I thought about a Pixel 4a, but when I saw this phone in online comparisons and its 120hz screen, huge battery, and top-of-the-line processor for $600, that seemed like too good of a deal. While the OS is gussied up a bit from what's in the Pixel line, it's not hard to figure out the differences and it adds a slight premium feel.\n\nThe only negatives in comparison to the Pixel are the camera software isn't as good, and the price is greater: $250 more than the 4a and $100 more than the 4a 5G. I had to look hard at my criteria to justify the extra cost, but I feel that the Pixel software doesn't add enough to the photos and that the extra cost gave me a phone with the kinds of features that will tide me over an additional year that the Pixel phones--with their weaker processors--likely would not. If anything else, it should have decent trade-in value in a year or two.""]"
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object","['I honestly don\'t know why these aren\'t more popular. Let\'s be real here, this is a very, very good ""economy"" phone that rivals midgrade phones. Sure your higher end phones have metal casings, water resistance/proof, fingerprint scanner, but for those that can do without it\'s a crazy good steal. Seriously. $65. Brand new. Unlocked. You can\'t beat it. Even the low $100 models aren\'t even better, spec wise. It comes with a case and screen protector, which is easily a $20 value. Case in point, these are great for basic employee/kid/elderly phones. You can buy 15 of these for the same amount as any new $1000 phone, not be locked to a carrier, and don\'t sweat it if you lose it or it gets stolen. I wish they had aftermarket cases though, ha.']"
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object","['I have always used budget phones and the last Blu phone I had was the HD R1 that lasted over 16 months as my Daily phone till I dropped it the wrong way, with a case, and shattered the screen. I got an email from Blu about this model and was intrigued by the features and spec. All of Blu’s other lower end phones suck because of their specs but this one would fit the bill. I got this phone for my 9 year old son. Unfortunately he’s still in the learning stages of how to be responsible for things and broke the last Older iPhone we gave him while roller skating outside. I call this type of phone a disposable phone cause of the cost. if it breaks, it was only $60, replace it with another. Build quality is pretty good, the 3000mah battery life is awesome and lasts for days. My son has Roblox and a few games on it, he doesn’t complain that it’s slow. We also added a parent link app to where we control his screen time which is cool. Remember the price people !! Don’t give a bad review trying to compare this to a flagship phone cause it’s not !! Some complain about not having a selection of cases, duh !! It’s Blu and even other small name brand companies do NOT offer a case but be lucky Blu gives you a free one in the box with the phone !! For now it’s working well. I may just buy a couple more and have them in inventory cause they are so cheap and if one breaks, replace it. Thanks Blu for making a great replacement for the HD R1. It’s a good design with good specs.']"
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object","['Someone explain why in hell I bought a phone that I absolutely cannot find a case to buy for it?! BLU, when you go to their freaking website, and click ""SHOP"" brings you smack dab right back here to amazon! Yet AMAZON FREAKING SEARCH does NOT have a single case for a phone THEY SELL! There is NO MODEL NUMBER to reference! Just ""Studio Mini 5.5"" but NOTHING AT ALL MATCHES when you search for a BLU Studio Mini Case! NOTHING! NOT the camera hole, NOT the power button hole, NOT the volume button hole. ABSOLUTELY NOTHING AT ALL! You\'re trying the tell me THERE\'S ABSOLUTELY NO DAMN CASE WHATSOEVER other than what came in the damn box?! If you want to protect your phone DON\'T BUY THIS ONE! SO DISGUSTED!']"
